Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,JD0725,BB 6 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,22500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD055,BB 10 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,50820,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0427,"PAKU NAIL 1 1/4""",PAKU,GD. UTAMA - C,2,DUS,495500,991000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0426,"PAKU NAIL 1""",PAKU,GD. UTAMA - C,0,DUS,503000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0425,BB 10 TJI TP280,BB,GD. UTAMA - C,0,BTG,51560,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD032,BB 12 KZTV POLOS TP280,BB,GD. UTAMA - C,0,BTG,74900,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD031,BB 12 KZATI POLOS TP280,BB,GD. UTAMA - C,0,BTG,77040,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD030,BB 13 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,105500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD03,BAUD BAJARINGAN 10 x 16,BAUD,GD. UTAMA - C,0,PAK,80000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD029,BB 10 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD025,BB 16 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,148700,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD024,BB 13 PSNI ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,85813,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD023,BB 10 SGS SNI TP280,BB,GD. UTAMA - C,0,BTG,40000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0225,BB 10 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,61180,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD022,BB 10 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,51930,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD021,BB 10 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,48600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0207,BB 12 KSSG SNI TP280,BBF,GD. UTAMA - C,0,BTG,79680,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0205,BB 12 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,85030,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD020,BB 10 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,57480,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD02,BAUD DRILLING 12 x 70 LL,BAUD,GD. UTAMA - C,0,PAK,66000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD019,BB 8 SGS SNI TP280,BB,GD. UTAMA - C,0,BTG,25500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD018,BB 8 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,40079,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD017,BB 6 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,21514,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD016,BB 6 KHS SNI TP280,BB,GD. UTAMA - C,0,BTG,24300,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD015,BB 6 BKI SNI TP280,BBF,GD. UTAMA - C,0,BTG,23850,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD014,WIREMESH M8 BESAR,WR,GD. UTAMA - C,0,LBR,445000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0133,BB 12 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,74330,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD013,WIREMESH M6,WR,GD. UTAMA - C,0,LBR,240000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0128,BB 8 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,31310,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0127,BB 6 TY SNI TP280,BB,GD. UTAMA - C,0,BTG,19000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0125,BB 12 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,82890,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD012,BB 8 ZJTY SNI TP280,BB,GD. UTAMA - C,0,BTG,32495,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0110,BB 8 TJ SNI TP280,BB,GD. UTAMA - C,0,BTG,31310,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD011,BB 10 PSNI ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,53965,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD01013,BB 6 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,21250,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD010,KAWAT BENDRAT @25KG,BK,GD. UTAMA - C,0,ROLL,296750,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD01,BAUD BAJA RINGAN 10 x 19,BK,GD. UTAMA - C,0,BIJI,109,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD009,BB 8 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,35576,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD008,KAWAT BENDRAT @20KG,BK,GD. UTAMA - C,0,ROLL,234500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD007,BB 10 IBD SNI TP280,BBF,GD. UTAMA - C,0,BTG,55260,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD006,"PAKU PERWIRA 6""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD005,"PAKU PERWIRA 5""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD004,"PAKU PERWIRA 4""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD003,"PAKU PERWIRA 3""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD00259,KAWAT LOKET PVC 1/4,KAWAT,GD. UTAMA - C,0,ROLL,68500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD00258,KAWAT LOKET PVC 1/2,KAWAT,GD. UTAMA - C,0,ROLL,48500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD002,"PAKU PERWIRA 2""",PAKU,GD. UTAMA - C,0,DUS,324500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0018,WIREMESH M6,WR,GD. UTAMA - C,0,LBR,265000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD001,"PAKU PERWIRA 1 1/2""",PAKU,GD. UTAMA - C,0,DUS,339500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,JD0005,SKRUP GYPSUM 1 x 6 LL,SKRUP,GD. UTAMA - C,0,PAK,15462,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,IWF03,IWF LS 150 x 12 MTR,IWF,GD. UTAMA - C,0,BTG,2003568,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,IWF02,IWF 350 x 12 M,IWF,GD. UTAMA - C,0,BTG,9184000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,IWF01,IWF LS 200 x 12 MTR,IWF,GD. UTAMA - C,0,BTG,3286594,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV116,GALVALUME 0.30 x 60,SENG,GD. UTAMA - C,9,ROLL,870000,7830000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV115,GALVALUME 0.30 x 90,SENG,GD. UTAMA - C,0,ROLL,1270000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV114,GALVALUME 0.25 x 60,SENG,GD. UTAMA - C,5,ROLL,621000,3105000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV113,GALVALUME 0.25 x 120,SENG,GD. UTAMA - C,0,ROLL,1032000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV112,GALVALUME 0.30 x 70,SENG,GD. UTAMA - C,15,ROLL,1190000,17850000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV111,GALVALUME 0.25 x 70,SENG,GD. UTAMA - C,6,ROLL,775000,4650000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV103,GALVALUME 0.30 x 120,SENG,GD. UTAMA - C,0,ROLL,1464000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV017,AURI GALVALUM 0.30 x 90,SENG,GD. UTAMA - C,1,ROLL,1288980,1288980,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV016,AURI GALVALUM 0.30 x 60,SENG,GD. UTAMA - C,0,ROLL,860160,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV015,AURI GALVALUM 0.25 x 90,SENG,GD. UTAMA - C,0,ROLL,919350,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV014,AURI GALVALUM 0.25 x 70,SENG,GD. UTAMA - C,0,ROLL,759360,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV013,AURI GALVALUM 0.25 x 60,SENG,GD. UTAMA - C,0,ROLL,626400,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV012,AURI GALVALUM 90 x 0.30,SENG,GD. UTAMA - C,0,ROLL,1293600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV011,AURI GALVALUM 70 x 0.30,SENG,GD. UTAMA - C,0,ROLL,1218000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV010,AURI GALVALUM 60 x 0.30,SENG,GD. UTAMA - C,0,ROLL,864000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV009,AURI GALVALUM 90 x 0.25,SENG,GD. UTAMA - C,0,ROLL,924000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV008,AURI GALVALUM 70 x 0.25,SENG,GD. UTAMA - C,0,ROLL,764400,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV007,AURI GALVALUM 60 x 0.25,SENG,GD. UTAMA - C,0,ROLL,633600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV006,GALVALUME 0.25 x 90,SENG,GD. UTAMA - C,3,ROLL,938000,2814000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV005,GALVALUME 0.30 x 914 x 50 M,SENG,GD. UTAMA - C,0,ROLL,1258379,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV004,GALVALUME 0.30 x 700 x 50 M,SENG,GD. UTAMA - C,0,ROLL,1219461,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV003,GALVALUME 0.30 x 600 x 50 M,SENG,GD. UTAMA - C,0,ROLL,869190,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV002,GALVALUME 0.25 x 700 x 50 M,SENG,GD. UTAMA - C,0,ROLL,830271,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GV001,GALVALUME 0.25 x 600 X 50 M,SENG,GD. UTAMA - C,0,ROLL,681082,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,GUN30,"GUNTING CPT 10""",GUNTING,GD. UTAMA - C,0,BIJI,69000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,DB2909,DINABOL 10 x 65 @ 100 PCS,DB,GD. UTAMA - C,0,PAK,170000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,CA07,BB 10 IBD ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,59500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,C911,BB 16 IBD ULIR SNI TS280,BBF,GD. UTAMA - C,5,BTG,169575,847875,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,C910,BB 10 KZATI ULIR TS280,BB,GD. UTAMA - C,0,BTG,55500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,C905,BB 13 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,93712,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,C903,BB 10 OKE SNI TP280,BB,GD. UTAMA - C,0,BTG,54723,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU16,HOLLO PRIME 0.35 4x4,HOLLO,GD. UTAMA - C,0,BTG,16500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU14,HOLLO PRIME 0.30 4x4,HOLLO,GD. UTAMA - C,1750,BTG,12800,22400000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU13,HOLLO PRIME 0.30 2x4,HOLLO,GD. UTAMA - C,1550,BTG,9500,14725000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU12,HOLLO STD 0.30 4x4,HOLLO,GD. UTAMA - C,2400,BTG,10800,25920000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU11,HOLLO STD 0.30 2x4,HOLLO,GD. UTAMA - C,2560,BTG,8400,21504000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU04,SPANDEK 1000 x 0.30 B x 6,SPD,GD. UTAMA - C,50,LBR,192000,9600000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU03,SPANDEK 1000 x 0.30 E x 6 M,SPD,GD. UTAMA - C,27,LBR,185000,4995000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU02,SPANDEK 1000 x 0.25 B x 6 M,SPD,GD. UTAMA - C,0,LBR,151000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU015,HOLLO PRIME 0.35 2x4,HOLLO,GD. UTAMA - C,450,BTG,12200,5490000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,BU01,SPANDEK 1000 x 0.25 E x 6 M,SPD,GD. UTAMA - C,0,LBR,0,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00609,SKRUP GYPSUM LL 2X6,BK,GD. UTAMA - C,0,PAK,16275,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00608,SKRUP GYPSUM LL 1X6,BK,GD. UTAMA - C,0,PAK,22000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00607,SKRUP GYPSUM LL 3X8,BK,GD. UTAMA - C,0,PAK,16275,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00606,SKRUP GYPSUM LL 11/2X6,BK,GD. UTAMA - C,0,PAK,16275,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00605,SKRUP GYPSUM LL 11/4X6,BK,GD. UTAMA - C,0,PAK,15300,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00604,SKRUP GYPSUM LL 3/4X6,BK,GD. UTAMA - C,0,PAK,16275,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00543,SKRUP GYPSUM MDN 1X6,BK,GD. UTAMA - C,0,PAK,22050,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00542,SKRUP GYPSUM MDN 3/4X6,BK,GD. UTAMA - C,0,PAK,24150,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00435,PAKU BETON HITAM MDN 100MM,BK,GD. UTAMA - C,0,PAK,43575,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00434,PAKU BETON HITAM MDN 80MM,BK,GD. UTAMA - C,0,PAK,35175,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00433,PAKU BETON HITAM MDN 70MM,BK,GD. UTAMA - C,0,PAK,27825,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00432,PAKU BETON HITAM LL 50MM,BK,GD. UTAMA - C,0,PAK,14175,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00431,PAKU BETON HITAM MDN 40MM,BK,GD. UTAMA - C,0,PAK,11025,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00430,PAKU BETON HITAM LL 30MM,BK,GD. UTAMA - C,0,PAK,5250,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00429,PAKU BETON HITAM MDN 25MM,BK,GD. UTAMA - C,0,PAK,6300,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00428,PAKU BETON HITAM MDN 20MM,BK,GD. UTAMA - C,0,PAK,3938,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00072,BAUD DRILLING MDN 12X70,BK,GD. UTAMA - C,0,BIJI,368,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00071,BAUD DRILLING MDN 12X50,BK,GD. UTAMA - C,0,BIJI,237,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00070,BAUD DRILLING MDN 12X40,BK,GD. UTAMA - C,0,BIJI,210,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00069,BAUD DRILLING MDN 12X30,BK,GD. UTAMA - C,0,BIJI,189,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00068,BAUD DRILLING MDN 12X25,BK,GD. UTAMA - C,0,BIJI,158,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00066,BAUD DRILLING 12X50 LL,BK,GD. UTAMA - C,0,BIJI,247,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,B00064,BAUD BAJA RINGAN 10X16,BK,GD. UTAMA - C,0,BIJI,111,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,AB12,BAJA C75 x 0.75 GBC,BJR,GD. UTAMA - C,0,BTG,58320,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,AB11,BAJA C75 x 0.75 GBL,BJR,GD. UTAMA - C,0,BTG,61700,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,AB02,SPANDEK 760 x 0.30 x 6 M,SPD,GD. UTAMA - C,0,LBR,154000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,AB01,SPANDEK 760 x 0.25 x 6 M,SPD,GD. UTAMA - C,0,LBR,112000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A999,BAJA R 28 x 0.35,RENG,GD. UTAMA - C,536,BTG,20500,10988000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A913,BAJA AURI C75 x 0.75 SNI AZ 100,BJR,GD. UTAMA - C,13,BTG,87500,1137500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A912,BAJA R 30 x 0.40,RENG,GD. UTAMA - C,759,BTG,26000,19734000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A911,BAJA R 28 x 0.40,BJR,GD. UTAMA - C,0,BTG,20700,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A910,BAJA C75 x 0.75 GLF,BJR,GD. UTAMA - C,0,BTG,50500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A909,BAJA C75 x 0.75 GLE,BJR,GD. UTAMA - C,2,BTG,55000,110000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A908,BAJA C75 x 0.75 GLC,BJR,GD. UTAMA - C,0,BTG,64000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A907,BAJA R 30 x 0.45,BJR,GD. UTAMA - C,0,BTG,28000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A906,BAJA R 30 x 0.35,BJR,GD. UTAMA - C,1107,BTG,22500,24907500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A905,BAJA R 28 x 0.30,RENG,GD. UTAMA - C,943,BTG,15500,14616500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A904,BAJA C75 x 0.75 GLG,BJR,GD. UTAMA - C,167,BTG,45000,7515000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A903,BAJA C75 x 0.75 GLD,BJR,GD. UTAMA - C,0,BTG,59000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A902,BAJA C75 x 0.75 GLB,BJR,GD. UTAMA - C,0,BTG,69000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A901,BAJA AURI C75 x 0.75,BJR,GD. UTAMA - C,0,BTG,69430,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A888,BAJA BUKIT C75 x 0.75 M,BJR,GD. UTAMA - C,0,BTG,62700,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A88,BAJA BUKIT C75 x 0.75 A,BJR,GD. UTAMA - C,0,BTG,70500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A777,BONDEK (BFD x 0.70 x 2 M),BDK,GD. UTAMA - C,20,LBR,157000,3140000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A72,BAJA R 28 x 0.40,RENG,GD. UTAMA - C,85,BTG,23500,1997500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A61,UPVC BAC DOUBLE 830 10MM LIGHT BLUE x 6 M,UPVC,GD. UTAMA - C,20,LBR,576000,11520000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A60,UPVC BAC DOUBLE 830 10MM WHITE x 6 M,UPVC,GD. UTAMA - C,20,LBR,576000,11520000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A59,UPVC BAC SINGLE 770 1.2MM WHITE x 6 M,UPVC,GD. UTAMA - C,83,LBR,235000,19505000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A58,SPANDEK BAC 0.25 F x 6 M,SPD,GD. UTAMA - C,47,LBR,172000,8084000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A57,BAJA C75 x 0.75 G,BJR,GD. UTAMA - C,0,BTG,45000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A56,BAJA C75 x 0.75 F,BJR,GD. UTAMA - C,300,BTG,50500,15150000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A55,BAJA C75 x 0.75 E,BJR,GD. UTAMA - C,0,BTG,55000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A54,BAJA C75 x 0.75 D,BJR,GD. UTAMA - C,0,BTG,59000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A53,BAJA C75 x 0.75 C,BJR,GD. UTAMA - C,0,BTG,64000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A52,BAJA C75 x 0.75 B,BJR,GD. UTAMA - C,585,BTG,69000,40365000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A51,BAJA BAC C75 x 0.75 A,BJR,GD. UTAMA - C,0,BTG,70500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A50,BAJA BAC C75 x 0.75,BJR,GD. UTAMA - C,0,BTG,71600,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A3473,WIREMESH M8 SERTIFIKAT,WR,GD. UTAMA - C,0,LBR,500000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A3470,THINER MAUNG @24,BK,GD. UTAMA - C,0,DUS,432000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A3469,THINER SALUD @24,BK,GD. UTAMA - C,0,DUS,432000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A3463,KAWAT BWG 18 @25 KG,BK,GD. UTAMA - C,0,ROLL,394000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A3460,KAWAT BWG 12 @50 KG,BK,GD. UTAMA - C,0,ROLL,688500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A2,HOLLO 4x4x0.35 Std,HOLLO,GD. UTAMA - C,465,BTG,17000,7905000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A104,BONDEK 0.70 x 6 M,BDK,GD. UTAMA - C,71,LBR,510000,36210000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A103,BONDEK 0.65 x 6 M,BDK,GD. UTAMA - C,12,LBR,485000,5820000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A102,BONDEK 0.60 x 6 M,BDK,GD. UTAMA - C,0,LBR,465000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A101,BONDEK 0.55 x 6 M,BDK,GD. UTAMA - C,0,LBR,381000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A1,HOLLO 2x4x0.35 Std,HOLLO,GD. UTAMA - C,459,BTG,12500,5737500,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A05,SPANDEK BD 1000 x 0.30 F x 6 M,SPD,GD. UTAMA - C,231,LBR,205000,47355000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A026,SPANDEK PASIR MERAH 1 x 6 M,SPD,GD. UTAMA - C,0,LBR,230000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A025,BAJA BUKIT C75 x 0.75,BJR,GD. UTAMA - C,101,BTG,71600,7231600,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,A024,R 30 x 0.40,BJR,GD. UTAMA - C,0,BTG,26675,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
